code_barre,adresseLongitude,adresseLatitude,adresseLigne1,code_postal,region,commune,populationCommune,densite,niveau_de_vie,gareLaPlusProche,distanceGare,nombre_paiements,nombre_contacts,taux de transformation
PROX-BDB-1021-353119,5.94362,45.56425,21 RTE D'APREMONT,73000.0,Auvergne-Rhône-Alpes,Barberaz,4843.0,4,23298.0,Chambéry-Challes-les-Eaux,2.051092761680873,7.0,35,20.0
PROX-BDB-1021-353120,5.72262,45.1852,5 PL CHAMPIONNET,38000.0,Auvergne-Rhône-Alpes,Grenoble,160625.0,4,19773.333333,Grenoble,0.4707163405179001,18.0,51,35.294117647058826
PROX-BDB-1021-353121,-2.08553,47.65199,8 RUE MARECHAL FOCH,35600.0,Bretagne,Redon,9810.0,3,19118.0,Redon,0.2252615077596727,19.0,56,33.92857142857143
PROX-BDB-1021-353122,4.39812,45.4455,4 Rue Dr Henri et Bernard Muller,42000.0,Auvergne-Rhône-Alpes,Saint-Étienne,174520.0,4,17694.0,St-Étienne-Châteaucreux,0.24277038619156047,1.0,39,2.564102564102564
PROX-BDB-1021-353123,4.5034,45.46397,PL NATIONALE,42400.0,Auvergne-Rhône-Alpes,Saint-Chamond,35524.0,3,18067.0,St-Chamond,1.4227382002138254,9.0,33,27.27272727272727
PROX-BDB-1021-353124,4.61028,45.52555,73 RUE CLAUDE DRIVON,42800.0,Auvergne-Rhône-Alpes,Rive-de-Gier,15299.0,3,16822.333333,Rive-de-Gier,0.3140913887174415,14.0,27,51.85185185185185
PROX-BDB-1021-353125,4.83142,45.86556,PL DE VERDUN,69250.0,Auvergne-Rhône-Alpes,Albigny-sur-Saône,2919.0,3,23714.0,Albigny-Neuville,1.0287932342177712,8.0,54,14.814814814814813
PROX-BDB-1021-353126,4.39317,45.4275,8 RUE EDOUARD VAILLANT,42100.0,Auvergne-Rhône-Alpes,Saint-Étienne,174520.0,4,17694.0,St-Étienne-Bellevue,1.1839830512079774,2.0,13,15.384615384615385
PROX-BDB-1021-353127,5.23475,45.59568,144 RTE DE LYON,38300.0,Auvergne-Rhône-Alpes,Bourgoin-Jallieu,29024.0,3,18705.0,L'Isle-d'Abeau,1.6906876797971242,16.0,86,18.6046511627907
PROX-BDB-1021-353128,4.96235,45.74132,2 AV DES EGLANTINES,69680.0,Auvergne-Rhône-Alpes,Chassieu,10505.0,4,26013.809524,St-Priest,6.484467286651988,5.0,26,19.230769230769234
PROX-BDB-1021-353129,4.83136,45.76562,10 QUAI DE LA PECHERIE,69001.0,Auvergne-Rhône-Alpes,Lyon 1er Arrondissement,30142.0,4,21794.666667,Lyon-St-Paul,0.455489602687518,2.0,2,100.0
PROX-BDB-1021-353130,4.76031,44.56216,57 AV DE VILLENEUVE,26200.0,Auvergne-Rhône-Alpes,Montélimar,40227.0,3,18501.481481,Montélimar,1.2971032465827799,6.0,32,18.75
PROX-BDB-1021-353131,4.39853,45.4139,28 RUE AMOUROUX,42100.0,Auvergne-Rhône-Alpes,Saint-Étienne,174520.0,4,17694.0,St-Étienne-Bellevue,0.5690081611388977,2.0,23,8.695652173913043
PROX-BDB-1021-353132,2.25691,50.44677,109 RUE DE FRUGES,62134.0,Hauts-de-France,Anvin,796.0,2,16167.333333,Anvin,0.12237171743893122,19.0,37,51.35135135135135
PROX-BDB-1021-353133,4.86483,45.75074,15 B RUE DU DAUPHINE,69003.0,Auvergne-Rhône-Alpes,Lyon 3e Arrondissement,102752.0,4,23139.0,Lyon-Part-Dieu,1.1474272792138112,5.0,70,7.142857142857142
PROX-BDB-1021-353134,5.73601,45.08006,10 RUE DE VERDUN,38560.0,Auvergne-Rhône-Alpes,Champ-sur-Drac,3041.0,3,22272.380952,Jarrie-Vizille,0.7379906826644806,10.0,13,76.92307692307693
PROX-BDB-1021-353135,4.17018,46.15858,11 RUE JEAN MOREL,42190.0,Auvergne-Rhône-Alpes,Charlieu,3772.0,2,17562.0,Le Coteau,16.34773354348093,12.0,44,27.27272727272727
PROX-BDB-1021-353136,4.07235,46.03679,61 RUE MARECHAL FOCH,42300.0,Auvergne-Rhône-Alpes,Roanne,35059.0,3,16878.380952,Roanne,0.7717909641155388,3.0,9,33.33333333333333
PROX-BDB-1021-353137,0.70497,47.3812,19 RUE GUILLAUMET,37000.0,Centre-Val de Loire,Tours,138616.0,4,18883.846154,Tours,1.0299092534699452,13.0,38,34.21052631578947
PROX-BDB-1021-353138,4.09247,46.05806,27 RUE CONDORCET,42300.0,Auvergne-Rhône-Alpes,Roanne,35059.0,3,16878.380952,Roanne,3.077037139414568,2.0,158,1.2658227848101267
PROX-BDB-1021-353139,4.05187,46.03971,1 RUE MARECHAL FOCH,42153.0,Auvergne-Rhône-Alpes,Riorges,11070.0,3,20105.333333,Roanne,0.8651367889233236,4.0,90,4.444444444444445
PROX-BDB-1021-353140,4.68409,45.36305,3 RTE DE PELUSSIN,42520.0,Auvergne-Rhône-Alpes,Maclas,1856.0,2,20318.695652,Clonas,8.948812939866896,36.0,57,63.1578947368421
PROX-BDB-1021-353141,4.18417,45.53962,18 RUE DU ONZE NOVEMBRE,42450.0,Auvergne-Rhône-Alpes,Sury-le-Comtal,6822.0,3,18572.0,Sury-le-Comtal,1.181935870648871,6.0,13,46.15384615384615
PROX-BDB-1021-353142,4.73844,46.10669,11 RUE DU 14 JUILLET,69220.0,Auvergne-Rhône-Alpes,Belleville-en-Beaujolais,13240.0,3,,Belleville-sur-Saône,0.9391618750403907,11.0,63,17.46031746031746
PROX-BDB-1021-353143,5.376,45.56696,6 RTE DE CHAMBERY,38110.0,Auvergne-Rhône-Alpes,Cessieu,3059.0,2,21260.0,Cessieu,0.6698530645660182,29.0,54,53.70370370370371
PROX-BDB-1021-353144,4.41684,45.44274,140 Rue de la Montat,42100.0,Auvergne-Rhône-Alpes,Saint-Étienne,174520.0,4,17694.0,St-Étienne-Pont-de-l'Âne,0.2871169785216128,45.0,66,68.18181818181817
